Date,Year,Time,Company,Vessel,vessel_type,Data_Collector,Species,Num_Sighted,Lat,Long,Delivery_Method,Notes,Transit_Track_Line
7/6/18,2018,,Evergreen,EVER LOADING,Container,Capt. Li-wen Chen,Unidentified,1,34.235555,-120.002222,,,
7/6/18,2018,,Evergreen,EVER LOADING,Container,Capt. Li-wen Chen,Unidentified,2,37,-122.552222,,,
7/6/18,2018,,Evergreen,EVER LOADING,Container,Capt. Li-wen Chen,Blue,1,37.3,-122.651944,,,
7/6/18,2018,,Evergreen,EVER LOADING,Container,Capt. Li-wen Chen,Unidentified,1,37.633333,-122.234722,,,
7/6/18,2018,,Evergreen,EVER LOADING,Container,Capt. Li-wen Chen,Unidentified,1,37.633333,-122.234722,,,
7/8/18,2018,,Evergreen,EVER LOADING,Container,Capt. Li-wen Chen,Unidentified,1,37.633333,-122.234722,,,
7/6/18,2018,,K-Line,Aegean Highway,Cargo - vehicle,Tsvetomir (Ivan) Kolev,Blue,1,37.135,-122.634722,,,
7/6/18,2018,,K-Line,Aegean Highway,Cargo - vehicle,Tsvetomir (Ivan) Kolev,Fin,1,37.135,-122.634722,,,
7/6/18,2018,,K-Line,Aegean Highway,Cargo - vehicle,Tsvetomir (Ivan) Kolev,Fin,2,37.616944,-122.885,,,
7/6/18,2018,,K-Line,Aegean Highway,Cargo - vehicle,Tsvetomir (Ivan) Kolev,Fin,3,37.618056,-122.883333,,,
7/19/18,2018,,K-Line,Aegean Highway,Cargo - vehicle,Tsvetomir (Ivan) Kolev,Fin,3,37.017778,-122.569167,,,
7/19/18,2018,,K-Line,Aegean Highway,Cargo - vehicle,Tsvetomir (Ivan) Kolev,Humpback,1,37.051111,-122.585278,,,
7/19/18,2018,,K-Line,Aegean Highway,Cargo - vehicle,Tsvetomir (Ivan) Kolev,Humpback,2,37.066667,-122.600556,,,
7/19/18,2018,,K-Line,Aegean Highway,Cargo - vehicle,Tsvetomir (Ivan) Kolev,Fin,1,37.066667,-122.600556,,,
7/20/18,2018,,K-Line,Aegean Highway,Cargo - vehicle,M. Evangelista,Blue,1,37.066667,-122.600556,,,
8/15/18,2018,,MOL,Motivator,Tanker,Kalinovskyi Dmytro,Unidentified,4,36.885556,-122.485278,,,
8/22/18,2018,,NYK,TRITON,Cargo,Capt. Marian Marius Nicolae,Unidentified,1,34.266667,-120.1175,,,
8/23/18,2018,,NYK,TRITON,Cargo,Capt. Marian Marius Nicolae,Unidentified,1,35.501944,-119.650833,,,
8/24/18,2018,,NYK,TRITON,Cargo,Capt. Marian Marius Nicolae,Humpback,1,37.768889,-122.718889,,,
8/24/18,2018,,NYK,TRITON,Cargo,Capt. Marian Marius Nicolae,Humpback,4,37.867222,-122.902222,,,
8/24/18,2018,,MOL,MOL BEAUTY,Container,Capt. Ranjit Bal,Unidentified,5,36.896667,-122.495,,photos shared - appear to be humpback dorsal,
10/20/18,2018,,K-Line,Athens Highway,Cargo - vehicle,Capt. D. S. Dimitrov,Unidentified,2,37.775,-122.748333,,,
10/26/18,2018,,MSC,MSC BERYL,Container,Gioacchino Maresca,Unidentified,2,34.217222,-120.066944,,,
10/26/18,2018,,MSC,MSC BERYL,Container,Gioacchino Maresca,Unidentified,3,34.2,-119.968611,,,
11/5/18,2018,,MSC,MSC BERYL,Container,Maresca Gioacchino,Unidentified,3,38.151111,-123.4675,,,
11/5/18,2018,,MSC,MSC BERYL,Container,Maresca Gioacchino,Unidentified,1,38.151111,-123.4675,,,
11/5/18,2018,,MSC,MSC BERYL,Container,Maresca Gioacchino,Unidentified,1,38.150833,-123.400833,,,
11/7/18,2018,,Evergreen,EVER ETHIC,Container,Ma Shad Liang,Blue,2,34.418333,-120.733333,,,
11/7/18,2018,,Evergreen,EVER ETHIC,Container,Ma Shad Liang,Blue,2,34.418333,-120.733333,,,
1/30/19,2019,,Maersk,Altair,,Sanjay Azad Verma,Unidentified,1,33.601389,-118.602222,,,
1/30/19,2019,07:00 PST,Maersk,Altair,,Sanjay Azad Verma,Unidentified,1,33.608333,-118.613333,Sighting reported to Jaime Jahnke at Point Blue - no sightings form provided,,
6/15/19,2019,20:25 UTC,CMA CGM,CMA CGM G. WASHINGTON,Container,"Constantin A. ; Fotea, R.",Unidentified,2,35.01,-121.17,Sightings form e-mailed,,
